Anno,Ateneo,Classe,Corso,GruppoCodice,Sesso,Iscritti
2012/2013,Ca' Foscari Venezia,L-18,Economia Aziendale - Economics And Management,7,M,724
2012/2013,Ca' Foscari Venezia,99999,Economia aziendale,7,F,9
2012/2013,Ca' Foscari Venezia,99999,Economia aziendale,7,M,12
2012/2013,Ca' Foscari Venezia,LM-56,Economia degli Scambi Internazionali,7,F,8
2012/2013,Ca' Foscari Venezia,L-33,Economia e Commercio,7,F,574
2012/2013,Ca' Foscari Venezia,L-33,Economia e Commercio,7,M,610
2012/2013,Ca' Foscari Venezia,17,Economia e Finanza,7,F,20
2012/2013,Ca' Foscari Venezia,LM-77,Economia e Finanza,7,F,105
2012/2013,Ca' Foscari Venezia,17,Economia e Finanza,7,M,20
2012/2013,Ca' Foscari Venezia,LM-77,Economia e Finanza,7,M,120
2012/2013,Ca' Foscari Venezia,28,Economia e Gestione dei Servizi Turistici,7,F,14
2012/2013,Ca' Foscari Venezia,L-33,Economia e Gestione dei Servizi Turistici,7,F,58
2012/2013,Ca' Foscari Venezia,L-33,Economia e Gestione dei Servizi Turistici,7,M,16
2012/2013,Ca' Foscari Venezia,83/S,Economia e Gestione delle Arti e delle Attivita Culturali,7,F,6
2012/2013,Ca' Foscari Venezia,LM-76,Economia e Gestione delle Arti e delle Attivita Culturali,7,F,269
2012/2013,Ca' Foscari Venezia,LM-76,Economia e Gestione delle Arti e delle Attivita Culturali,7,M,58
2012/2013,Ca' Foscari Venezia,LM-77,Economia e Gestione delle Aziende,7,F,183
2012/2013,Ca' Foscari Venezia,LM-77,Economia e Gestione delle Aziende,7,M,142
2012/2013,Ca' Foscari Venezia,99999,Economia e commercio,7,F,18
2012/2013,Ca' Foscari Venezia,99999,Economia e commercio,7,M,27
2012/2013,Ca' Foscari Venezia,L-18,Economics And Management,7,F,74
2012/2013,Ca' Foscari Venezia,L-18,Economics And Management,7,M,75
2012/2013,Ca' Foscari Venezia,16/S,Filologia e Letteratura Italiana,3,F,7
2012/2013,Ca' Foscari Venezia,LM-14,Filologia e Letteratura Italiana,3,F,121
2012/2013,Ca' Foscari Venezia,LM-14,Filologia e Letteratura Italiana,3,M,37
2012/2013,Ca' Foscari Venezia,99999,Filosofia,3,F,17
2012/2013,Ca' Foscari Venezia,29,Filosofia,3,F,21
2012/2013,Ca' Foscari Venezia,L-5,Filosofia,3,F,129
2012/2013,Ca' Foscari Venezia,99999,Filosofia,3,M,13
2012/2013,Ca' Foscari Venezia,29,Filosofia,3,M,21
2012/2013,Ca' Foscari Venezia,L-5,Filosofia,3,M,117
2012/2013,Ca' Foscari Venezia,LM-78,"Filosofia della Societa, dell'Arte e della Comunicazione",3,F,38
2012/2013,Ca' Foscari Venezia,LM-78,"Filosofia della Societa, dell'Arte e della Comunicazione",3,M,33
2012/2013,Ca' Foscari Venezia,L-31,Informatica,10,F,31
2012/2013,Ca' Foscari Venezia,LM-18,Informatica,10,M,15
2012/2013,Ca' Foscari Venezia,26,Informatica,10,M,25
2012/2013,Ca' Foscari Venezia,L-31,Informatica,10,M,296
2012/2013,Ca' Foscari Venezia,LM-18,Informatica - Computer Science,10,F,6
2012/2013,Ca' Foscari Venezia,LM-18,Informatica - Computer Science,10,M,43
2012/2013,Ca' Foscari Venezia,57/S,Interculturalita e Cittadinanza Sociale,14,F,13
2012/2013,Ca' Foscari Venezia,LM-94,"Interpretariato e Traduzione Editoriale, Settoriale",4,F,116
2012/2013,Ca' Foscari Venezia,LM-94,"Interpretariato e Traduzione Editoriale, Settoriale",4,M,20
2012/2013,Ca' Foscari Venezia,LM-87,"Lavoro, Cittadinanza Sociale, Interculturalita",14,F,188
2012/2013,Ca' Foscari Venezia,LM-87,"Lavoro, Cittadinanza Sociale, Interculturalita",14,M,18
2012/2013,Ca' Foscari Venezia,5,Lettere,3,F,30
2012/2013,Ca' Foscari Venezia,99999,Lettere,3,F,37
2012/2013,Ca' Foscari Venezia,L-10,Lettere,3,F,278
2012/2013,Ca' Foscari Venezia,99999,Lettere,3,M,10
2012/2013,Ca' Foscari Venezia,L-10,Lettere,3,M,121
2012/2013,Ca' Foscari Venezia,L-11,Lingue e Civilta Moderne e Contemporanee,4,F,653
2012/2013,Ca' Foscari Venezia,L-11,Lingue e Civilta Moderne e Contemporanee,4,M,149
2012/2013,Ca' Foscari Venezia,LM-36,Lingue e Civilta dell'Asia e dell'Africa Mediterranea,4,F,157
2012/2013,Ca' Foscari Venezia,LM-36,Lingue e Civilta dell'Asia e dell'Africa Mediterranea,4,M,41
2012/2013,Ca' Foscari Venezia,L-11,Lingue e Culture del Mediterraneo e del Medio Oriente,4,F,99
2012/2013,Ca' Foscari Venezia,L-11,Lingue e Culture del Mediterraneo e del Medio Oriente,4,M,23
2012/2013,Ca' Foscari Venezia,LM-36,Lingue e Culture dell'Asia Orientale,4,F,45
2012/2013,Ca' Foscari Venezia,11,Lingue e Culture dell'Asia Orientale,4,F,47
2012/2013,Ca' Foscari Venezia,LM-36,Lingue e Culture dell'Asia Orientale,4,M,19
2012/2013,Ca' Foscari Venezia,11,Lingue e Culture dell'Asia Orientale,4,M,23
2012/2013,Ca' Foscari Venezia,11,Lingue e Culture dell'Eurasia e del Mediterraneo,4,F,20
2012/2013,Ca' Foscari Venezia,11,Lingue e Culture dell'Eurasia e del Mediterraneo,4,M,11
2012/2013,Ca' Foscari Venezia,LM-38,Lingue e Istituzioni Economiche e Giuridiche dell'Asia Orientale,4,F,12
2012/2013,Ca' Foscari Venezia,11,Lingue e Istituzioni Economiche e Giuridiche dell'Asia Orientale,4,F,23
2012/2013,Ca' Foscari Venezia,11,Lingue e Istituzioni Economiche e Giuridiche dell'Asia Orientale,4,M,7
2012/2013,Ca' Foscari Venezia,LM-38,Lingue e Istituzioni Economiche e Giuridiche dell?Asia e dell?Africa Mediterranea,4,F,241
2012/2013,Ca' Foscari Venezia,LM-38,Lingue e Istituzioni Economiche e Giuridiche dell?Asia e dell?Africa Mediterranea,4,M,71
2012/2013,Ca' Foscari Venezia,LM-37,"Lingue e Letterature Europee, Americane e Postcoloniali",4,F,183
2012/2013,Ca' Foscari Venezia,LM-37,"Lingue e Letterature Europee, Americane e Postcoloniali",4,M,29
2012/2013,Ca' Foscari Venezia,11,Lingue e Letterature Moderne e Contemporanee Occidentali,4,F,60
2012/2013,Ca' Foscari Venezia,11,Lingue e Letterature Moderne e Contemporanee Occidentali,4,M,14
2012/2013,Ca' Foscari Venezia,11,Lingue e Scienze del Linguaggio,4,F,14
2012/2013,Ca' Foscari Venezia,L-11,Lingue e Scienze del Linguaggio,4,F,109
2012/2013,Ca' Foscari Venezia,L-11,Lingue e Scienze del Linguaggio,4,M,8
2012/2013,Ca' Foscari Venezia,99999,Lingue e civiltà orientali,4,F,16
2012/2013,Ca' Foscari Venezia,99999,Lingue e letterature orientali,4,F,19
2012/2013,Ca' Foscari Venezia,99999,Lingue e letterature straniere,4,F,46
2012/2013,Ca' Foscari Venezia,99999,Lingue e letterature straniere,4,M,6
2012/2013,Ca' Foscari Venezia,11,"Lingue, Arti, Storia e Civilta",4,F,18
2012/2013,Ca' Foscari Venezia,L-11,"Lingue, Civilta e Scienze del Linguaggio",4,F,1166
2012/2013,Ca' Foscari Venezia,L-11,"Lingue, Civilta e Scienze del Linguaggio",4,M,249
2012/2013,Ca' Foscari Venezia,L-11,"Lingue, Culture e Societa dell'Asia Orientale",4,F,462
2012/2013,Ca' Foscari Venezia,L-11,"Lingue, Culture e Societa dell'Asia Orientale",4,M,194
2012/2013,Ca' Foscari Venezia,L-11,"Lingue, Culture e Societa dell'Asia e dell'Africa Mediterranea",4,F,1227
2012/2013,Ca' Foscari Venezia,L-11,"Lingue, Culture e Societa dell'Asia e dell'Africa Mediterranea",4,M,424
2012/2013,Ca' Foscari Venezia,84/S,Marketing e Comunicazione,7,F,7
2012/2013,Ca' Foscari Venezia,LM-77,Marketing e Comunicazione,7,F,125
2012/2013,Ca' Foscari Venezia,LM-77,Marketing e Comunicazione,7,M,89
2012/2013,Ca' Foscari Venezia,17,Marketing e Gestione delle Imprese,7,F,64
2012/2013,Ca' Foscari Venezia,17,Marketing e Gestione delle Imprese,7,M,56
2012/2013,Ca' Foscari Venezia,L-12,Mediazione Linguistica e Culturale,4,F,233
2012/2013,Ca' Foscari Venezia,L-12,Mediazione Linguistica e Culturale,4,M,37
2012/2013,Ca' Foscari Venezia,LM-45,Musicologia e Scienze dello Spettacolo,2,F,7
2012/2013,Ca' Foscari Venezia,LM-45,Musicologia e Scienze dello Spettacolo,2,M,9
2012/2013,Ca' Foscari Venezia,57/S,Politiche e Servizi Sociali,14,F,22
2012/2013,Ca' Foscari Venezia,LM-52,Relazioni Internazionali Comparate,5,F,21
2012/2013,Ca' Foscari Venezia,LM-52,Relazioni Internazionali Comparate,5,M,8
2012/2013,Ca' Foscari Venezia,LM-52,Relazioni Internazionali Comparate - International Relations,5,F,184
2012/2013,Ca' Foscari Venezia,LM-52,Relazioni Internazionali Comparate - International Relations,5,M,54
2012/2013,Ca' Foscari Venezia,17,Revisore dei Conti e Giurista d'Impresa,7,F,7
2012/2013,Ca' Foscari Venezia,17,Revisore dei Conti e Giurista d'Impresa,7,M,9
2012/2013,Ca' Foscari Venezia,LM-54,Scienza dei Materiali,9,M,9
2012/2013,Ca' Foscari Venezia,27,Scienze Ambientali,9,F,20
2012/2013,Ca' Foscari Venezia,LM-75,Scienze Ambientali,9,F,47
2012/2013,Ca' Foscari Venezia,L-32,Scienze Ambientali,9,F,117
2012/2013,Ca' Foscari Venezia,27,Scienze Ambientali,9,M,30
2012/2013,Ca' Foscari Venezia,LM-75,Scienze Ambientali,9,M,43
2012/2013,Ca' Foscari Venezia,L-32,Scienze Ambientali,9,M,126
2012/2013,Ca' Foscari Venezia,LM-54,Scienze Chimiche per la Conservazione e il Restauro,9,F,34
2012/2013,Ca' Foscari Venezia,LM-54,Scienze Chimiche per la Conservazione e il Restauro,9,M,8
2012/2013,Ca' Foscari Venezia,LM-78,Scienze Filosofiche,3,F,13
2012/2013,Ca' Foscari Venezia,LM-78,Scienze Filosofiche,3,M,17
2012/2013,Ca' Foscari Venezia,LM-39,Scienze del Linguaggio,4,F,125
2012/2013,Ca' Foscari Venezia,LM-39,Scienze del Linguaggio,4,M,19
2012/2013,Ca' Foscari Venezia,LM-15,"Scienze dell'Antichita: Letterature, Storia e Archeologia",3,F,8
2012/2013,Ca' Foscari Venezia,LM-2,"Scienze dell'Antichita: Letterature, Storia e Archeologia",3,F,71
2012/2013,Ca' Foscari Venezia,LM-15,"Scienze dell'Antichita: Letterature, Storia e Archeologia",3,M,7
2012/2013,Ca' Foscari Venezia,LM-2,"Scienze dell'Antichita: Letterature, Storia e Archeologia",3,M,40
2012/2013,Ca' Foscari Venezia,L-39,Scienze della Societa e del Servizio Sociale,14,F,267
2012/2013,Ca' Foscari Venezia,L-39,Scienze della Societa e del Servizio Sociale,14,M,38
2012/2013,Ca' Foscari Venezia,21,Scienze e Tecnologie Chimiche per la Conservazione ed il Restauro,9,F,15
2012/2013,Ca' Foscari Venezia,LM-54,Scienze e Tecnologie dei Bio e Nanomateriali,9,F,14
2012/2013,Ca' Foscari Venezia,LM-54,Scienze e Tecnologie dei Bio e Nanomateriali,9,M,9
2012/2013,Ca' Foscari Venezia,21,Scienze e Tecnologie dei Materiali,9,M,10
2012/2013,Ca' Foscari Venezia,6,Servizio Sociale,14,F,19
2012/2013,Ca' Foscari Venezia,L-41,Statistica e Informatica per la Gestione delle Imprese,9,F,11
2012/2013,Ca' Foscari Venezia,37,Statistica e Informatica per la Gestione delle Imprese,9,M,11
2012/2013,Ca' Foscari Venezia,L-41,Statistica e Informatica per la Gestione delle Imprese,9,M,23
2012/2013,Ca' Foscari Venezia,38,Storia,3,F,15
2012/2013,Ca' Foscari Venezia,99999,Storia,3,F,23
2012/2013,Ca' Foscari Venezia,L-42,Storia,3,F,103
2012/2013,Ca' Foscari Venezia,99999,Storia,3,M,12
2012/2013,Ca' Foscari Venezia,38,Storia,3,M,22
2012/2013,Ca' Foscari Venezia,L-42,Storia,3,M,201
2012/2013,Ca' Foscari Venezia,LM-84,Storia Dal Medioevo all'Eta Contemporanea,3,F,34
2012/2013,Ca' Foscari Venezia,LM-84,Storia Dal Medioevo all'Eta Contemporanea,3,M,55
2012/2013,Ca' Foscari Venezia,94/S,Storia della Societa Europea Dal Medioevo all'Eta Contemporanea,3,M,6
2012/2013,Ca' Foscari Venezia,95/S,Storia delle Arti e Conservazione dei Beni Artistici,2,F,16
2012/2013,Ca' Foscari Venezia,LM-89,Storia delle Arti e Conservazione dei Beni Artistici,2,F,171
2012/2013,Ca' Foscari Venezia,LM-89,Storia delle Arti e Conservazione dei Beni Artistici,2,M,22
2012/2013,Ca' Foscari Venezia,LM-5,Storia e Gestione del Patrimonio Archivistico e Bibliografico,5,F,38
2012/2013,Ca' Foscari Venezia,LM-5,Storia e Gestione del Patrimonio Archivistico e Bibliografico,5,M,12
2012/2013,Ca' Foscari Venezia,LM-56,Sviluppo Economico e dell'Impresa,7,F,57
2012/2013,Ca' Foscari Venezia,LM-56,Sviluppo Economico e dell'Impresa,7,M,31
2012/2013,Ca' Foscari Venezia,LM-49,Sviluppo Interculturale dei Sistemi Turistici,7,F,116
2012/2013,Ca' Foscari Venezia,LM-49,Sviluppo Interculturale dei Sistemi Turistici,7,M,20
2012/2013,Ca' Foscari Venezia,23,Tecniche Artistiche e dello Spettacolo,2,F,12
2012/2013,Ca' Foscari Venezia,L-3,Tecniche Artistiche e dello Spettacolo,2,F,15
2012/2013,Ca' Foscari Venezia,L-3,Tecniche Artistiche e dello Spettacolo,2,M,6
2012/2013,Ca' Foscari Venezia,23,Tecniche Artistiche e dello Spettacolo,2,M,11
2012/2013,Ca' Foscari Venezia,L-43,Tecnologie per la Conservazione e il Restauro,9,F,118
2012/2013,Ca' Foscari Venezia,L-43,Tecnologie per la Conservazione e il Restauro,9,M,27
2012/2013,Cagliari,L-16,Amministrazione e Organizzazione,5,F,265
2012/2013,Cagliari,L-16,Amministrazione e Organizzazione,5,M,156
2012/2013,Cagliari,19,"Amministrazione, Governo e Sviluppo Locale",5,F,12
2012/2013,Cagliari,19,"Amministrazione, Governo e Sviluppo Locale",5,F,55
2012/2013,Cagliari,19,"Amministrazione, Governo e Sviluppo Locale",5,M,18
2012/2013,Cagliari,LM-2,Archeologia e Storia dell'Arte,3,F,42
2012/2013,Cagliari,LM-89,Archeologia e Storia dell'Arte,2,F,56
2012/2013,Cagliari,LM-89,Archeologia e Storia dell'Arte,2,M,9
2012/2013,Cagliari,LM-2,Archeologia e Storia dell'Arte,3,M,13
2012/2013,Cagliari,LM-4,Architettura,11,F,88
2012/2013,Cagliari,LM-4,Architettura,11,M,111
2012/2013,Cagliari,4/S,Architettura delle Costruzioni,11,F,135
2012/2013,Cagliari,4/S,Architettura delle Costruzioni,11,M,90
2012/2013,Cagliari,SNT4,Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario),14,F,16
2012/2013,Cagliari,L/SNT4,Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario),14,F,23
2012/2013,Cagliari,L/SNT4,Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario),14,M,15
2012/2013,Cagliari,13,Beni Culturali,2,F,79
2012/2013,Cagliari,L-1,Beni Culturali,2,F,456
2012/2013,Cagliari,13,Beni Culturali,2,M,19
2012/2013,Cagliari,L-1,Beni Culturali,2,M,121
2012/2013,Cagliari,LM-6,Bio-Ecologia Marina,9,F,14
2012/2013,Cagliari,LM-6,Bio-Ecologia Marina,9,M,15
2012/2013,Cagliari,12,Bioecologia Applicata,9,F,36
2012/2013,Cagliari,12,Bioecologia Applicata,9,M,24
2012/2013,Cagliari,L-13,Biologia,9,F,213
2012/2013,Cagliari,L-13,Biologia,9,M,92
2012/2013,Cagliari,LM-6,Biologia Cellulare e Molecolare,9,F,39
2012/2013,Cagliari,LM-6,Biologia Cellulare e Molecolare,9,M,12
2012/2013,Cagliari,12,Biologia Sperimentale,9,F,88
2012/2013,Cagliari,12,Biologia Sperimentale,9,M,30
2012/2013,Cagliari,6/S,Biologia Sperimentale ed Applicata,9,F,11
2012/2013,Cagliari,L-2,Biotecnologie Industriali,9,F,19
2012/2013,Cagliari,L-2,Biotecnologie Industriali,9,F,35
2012/2013,Cagliari,L-2,Biotecnologie Industriali,9,M,11
2012/2013,Cagliari,L-2,Biotecnologie Industriali,9,M,17
2012/2013,Cagliari,21,Chimica,9,F,25
2012/2013,Cagliari,L-27,Chimica,9,F,91
2012/2013,Cagliari,21,Chimica,9,M,20
2012/2013,Cagliari,L-27,Chimica,9,M,62
2012/2013,Cagliari,14/S,Chimica e Tecnologia Farmaceutiche,14,F,97
2012/2013,Cagliari,LM-13,Chimica e Tecnologia Farmaceutiche,14,F,202
2012/2013,Cagliari,14/S,Chimica e Tecnologia Farmaceutiche,14,M,32
2012/2013,Cagliari,LM-13,Chimica e Tecnologia Farmaceutiche,14,M,87
2012/2013,Cagliari,99999,Chimica e tecnologia farmaceutiche,14,F,6
2012/2013,Cagliari,LM-10,Conservazione dei Beni Architettonici ed Ambientali,11,F,25
2012/2013,Cagliari,LM-10,Conservazione dei Beni Architettonici ed Ambientali,11,M,11
2012/2013,Cagliari,84/S,Economia Manageriale,7,F,17
2012/2013,Cagliari,LM-77,Economia Manageriale,7,F,218
2012/2013,Cagliari,84/S,Economia Manageriale,7,M,9
2012/2013,Cagliari,LM-77,Economia Manageriale,7,M,133
2012/2013,Cagliari,99999,Economia aziendale,7,F,8
2012/2013,Cagliari,99999,Economia aziendale,7,M,6
2012/2013,Cagliari,28,Economia e Finanza,7,F,46
2012/2013,Cagliari,L-33,Economia e Finanza,7,F,148
2012/2013,Cagliari,28,Economia e Finanza,7,M,31
2012/2013,Cagliari,L-33,Economia e Finanza,7,M,205
2012/2013,Cagliari,17,Economia e Gestione Aziendale,7,F,236
2012/2013,Cagliari,L-18,Economia e Gestione Aziendale,7,F,867
2012/2013,Cagliari,17,Economia e Gestione Aziendale,7,M,138
2012/2013,Cagliari,L-18,Economia e Gestione Aziendale,7,M,841
2012/2013,Cagliari,L-18,Economia e Gestione dei Servizi Turistici,7,F,12
2012/2013,Cagliari,17,Economia e Gestione dei Servizi Turistici,7,F,23
2012/2013,Cagliari,L-18,Economia e Gestione dei Servizi Turistici,7,F,97
2012/2013,Cagliari,17,Economia e Gestione dei Servizi Turistici,7,M,6
2012/2013,Cagliari,L-18,Economia e Gestione dei Servizi Turistici,7,M,57
2012/2013,Cagliari,L-33,Economia e Politiche Europee,7,F,11
2012/2013,Cagliari,28,Economia e Politiche Europee,7,F,18
2012/2013,Cagliari,28,Economia e Politiche Europee,7,M,13
2012/2013,Cagliari,99999,Economia e commercio,7,F,59
2012/2013,Cagliari,99999,Economia e commercio,7,M,42
2012/2013,Cagliari,4,Edilizia,11,F,29
2012/2013,Cagliari,4,Edilizia,11,M,53
2012/2013,Cagliari,10,Elettrica,12,M,23
2012/2013,Cagliari,99999,Farmacia,14,F,7
2012/2013,Cagliari,14/S,Farmacia,14,F,147
2012/2013,Cagliari,LM-13,Farmacia,14,F,239
2012/2013,Cagliari,14/S,Farmacia,14,M,54
2012/2013,Cagliari,LM-13,Farmacia,14,M,89
2012/2013,Cagliari,LM-15,Filologie e Letterature Classiche e Moderne,3,F,29
2012/2013,Cagliari,LM-14,Filologie e Letterature Classiche e Moderne,3,F,60
2012/2013,Cagliari,LM-15,Filologie e Letterature Classiche e Moderne,3,M,7
2012/2013,Cagliari,LM-14,Filologie e Letterature Classiche e Moderne,3,M,22
2012/2013,Cagliari,29,Filosofia,3,F,14
2012/2013,Cagliari,99999,Filosofia,3,F,20
2012/2013,Cagliari,L-5,Filosofia,3,F,105
2012/2013,Cagliari,29,Filosofia,3,M,6
2012/2013,Cagliari,99999,Filosofia,3,M,12
2012/2013,Cagliari,L-5,Filosofia,3,M,88
2012/2013,Cagliari,25,Fisica,9,F,12
2012/2013,Cagliari,LM-17,Fisica,9,F,17
2012/2013,Cagliari,L-30,Fisica,9,F,55
2012/2013,Cagliari,99999,Fisica,9,M,8
2012/2013,Cagliari,LM-17,Fisica,9,M,20
2012/2013,Cagliari,25,Fisica,9,M,28
2012/2013,Cagliari,L-30,Fisica,9,M,90
2012/2013,Cagliari,L/SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,F,9
2012/2013,Cagliari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,F,20
2012/2013,Cagliari,SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,14
2012/2013,Cagliari,L/SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,14
2012/2013,Cagliari,22/S,Giurisprudenza,8,F,8
2012/2013,Cagliari,99999,Giurisprudenza,8,F,235
2012/2013,Cagliari,LMG/01,Giurisprudenza,8,F,1439
2012/2013,Cagliari,99999,Giurisprudenza,8,M,104
2012/2013,Cagliari,LMG/01,Giurisprudenza,8,M,764
2012/2013,Cagliari,22/S,Giurisprudenza (Corso Ad Esaurimento),8,F,8
2012/2013,Cagliari,LM-52,Governance e Sistema Globale,5,F,121
2012/2013,Cagliari,LM-52,Governance e Sistema Globale,5,M,85
2012/2013,Cagliari,SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,F,14
2012/2013,Cagliari,L/SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,F,32
2012/2013,Cagliari,SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,M,8
2012/2013,Cagliari,L/SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,M,8
2012/2013,Cagliari,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,42
2012/2013,Cagliari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,61
2012/2013,Cagliari,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,160
2012/2013,Cagliari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,184
2012/2013,Cagliari,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,15
2012/2013,Cagliari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,21
2012/2013,Cagliari,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,67
2012/2013,Cagliari,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,81
2012/2013,Cagliari,LM-18,Informatica,10,F,10
2012/2013,Cagliari,26,Informatica,10,F,16
2012/2013,Cagliari,L-31,Informatica,10,F,44
2012/2013,Cagliari,26,Informatica,10,M,8
2012/2013,Cagliari,LM-18,Informatica,10,M,52
2012/2013,Cagliari,26,Informatica,10,M,58
2012/2013,Cagliari,L-31,Informatica,10,M,338
2012/2013,Cagliari,10,Ingegneria Biomedica,12,F,16
2012/2013,Cagliari,L-9,Ingegneria Biomedica,12,F,112
2012/2013,Cagliari,L-8,Ingegneria Biomedica,12,F,152
2012/2013,Cagliari,10,Ingegneria Biomedica,12,M,8
2012/2013,Cagliari,L-9,Ingegneria Biomedica,12,M,81
2012/2013,Cagliari,L-8,Ingegneria Biomedica,12,M,122
2012/2013,Cagliari,10,Ingegneria Chimica,12,F,18
2012/2013,Cagliari,L-9,Ingegneria Chimica,12,F,51
2012/2013,Cagliari,10,Ingegneria Chimica,12,M,12
2012/2013,Cagliari,L-9,Ingegneria Chimica,12,M,73
2012/2013,Cagliari,LM-22,Ingegneria Chimica e di Processo,12,M,7
2012/2013,Cagliari,28/S,Ingegneria Civile,11,F,23
2012/2013,Cagliari,LM-23,Ingegneria Civile,11,F,43
2012/2013,Cagliari,8,Ingegneria Civile,11,F,57
2012/2013,Cagliari,L-7,Ingegneria Civile,11,F,213
2012/2013,Cagliari,28/S,Ingegneria Civile,11,M,30
2012/2013,Cagliari,LM-23,Ingegneria Civile,11,M,92
2012/2013,Cagliari,8,Ingegneria Civile,11,M,117
2012/2013,Cagliari,L-7,Ingegneria Civile,11,M,395
2012/2013,Cagliari,4/S,Ingegneria Edile,11,F,15
2012/2013,Cagliari,4,Ingegneria Edile,11,F,22
2012/2013,Cagliari,4/S,Ingegneria Edile,11,M,14
2012/2013,Cagliari,4,Ingegneria Edile,11,M,41
2012/2013,Cagliari,4/S,Ingegneria Edile - Architettura,11,F,57
2012/2013,Cagliari,4/S,Ingegneria Edile - Architettura,11,M,78
2012/2013,Cagliari,L-9,Ingegneria Elettrica,12,F,19
2012/2013,Cagliari,31/S,Ingegneria Elettrica,12,M,7
2012/2013,Cagliari,LM-28,Ingegneria Elettrica,12,M,25
2012/2013,Cagliari,10,Ingegneria Elettrica,12,M,29
2012/2013,Cagliari,L-9,Ingegneria Elettrica,12,M,92
2012/2013,Cagliari,L-9,Ingegneria Elettrica ed Elettronica,12,F,13
2012/2013,Cagliari,L-8,Ingegneria Elettrica ed Elettronica,12,F,24
2012/2013,Cagliari,L-9,Ingegneria Elettrica ed Elettronica,12,M,67
2012/2013,Cagliari,L-8,Ingegneria Elettrica ed Elettronica,12,M,107
2012/2013,Cagliari,32/S,Ingegneria Elettronica,12,F,6
2012/2013,Cagliari,LM-29,Ingegneria Elettronica,12,F,8
2012/2013,Cagliari,9,Ingegneria Elettronica,12,F,31
2012/2013,Cagliari,L-8,Ingegneria Elettronica,12,F,34
2012/2013,Cagliari,32/S,Ingegneria Elettronica,12,M,29
2012/2013,Cagliari,LM-29,Ingegneria Elettronica,12,M,46
2012/2013,Cagliari,9,Ingegneria Elettronica,12,M,106
2012/2013,Cagliari,L-8,Ingegneria Elettronica,12,M,176
2012/2013,Cagliari,LM-30,Ingegneria Energetica,12,F,9
2012/2013,Cagliari,33/S,Ingegneria Energetica,12,M,10
2012/2013,Cagliari,LM-30,Ingegneria Energetica,12,M,29
2012/2013,Cagliari,36/S,Ingegneria Meccanica,12,F,7
2012/2013,Cagliari,10,Ingegneria Meccanica,12,F,15
2012/2013,Cagliari,L-9,Ingegneria Meccanica,12,F,51
2012/2013,Cagliari,36/S,Ingegneria Meccanica,12,M,35
2012/2013,Cagliari,LM-33,Ingegneria Meccanica,12,M,54
2012/2013,Cagliari,10,Ingegneria Meccanica,12,M,119
2012/2013,Cagliari,L-9,Ingegneria Meccanica,12,M,355
2012/2013,Cagliari,99999,Ingegneria civile,11,F,17
2012/2013,Cagliari,99999,Ingegneria civile,11,M,39
2012/2013,Cagliari,LM-27,Ingegneria delle Telecomunicazioni,12,F,8
2012/2013,Cagliari,30/S,Ingegneria delle Telecomunicazioni,12,M,15
2012/2013,Cagliari,LM-27,Ingegneria delle Telecomunicazioni,12,M,38
2012/2013,Cagliari,99999,Ingegneria edile,11,F,19
2012/2013,Cagliari,99999,Ingegneria edile,11,M,15
2012/2013,Cagliari,99999,Ingegneria elettrica,12,M,10
2012/2013,Cagliari,99999,Ingegneria elettronica,12,M,7
2012/2013,Cagliari,LM-35,Ingegneria per l'Ambiente e il Territorio,11,F,19
2012/2013,Cagliari,38/S,Ingegneria per l'Ambiente e il Territorio,11,F,24
2012/2013,Cagliari,8,Ingegneria per l'Ambiente e il Territorio,11,F,37
2012/2013,Cagliari,L-7,Ingegneria per l'Ambiente e il Territorio,11,F,117
2012/2013,Cagliari,38/S,Ingegneria per l'Ambiente e il Territorio,11,M,24
2012/2013,Cagliari,LM-35,Ingegneria per l'Ambiente e il Territorio,11,M,45
2012/2013,Cagliari,8,Ingegneria per l'Ambiente e il Territorio,11,M,66
